id,name,type,total,hp,attack,defense,sp_attack,sp_defense,speed,sprite
039,jigglypuff,normal fairy,270,115,45,20,45,25,20,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png
040,wigglytuff,normal fairy,435,140,70,45,85,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png
041,zubat,poison flying,245,40,45,35,30,40,55,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png
042,golbat,poison flying,455,75,80,70,65,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png
043,oddish,grass poison,320,45,50,55,75,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png
044,gloom,grass poison,395,60,65,70,85,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png
045,vileplume,grass poison,490,75,80,85,110,90,50,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png
046,paras,bug grass,285,35,70,55,45,55,25,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png
047,parasect,bug grass,405,60,95,80,60,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png
048,venonat,bug poison,305,60,55,50,40,55,45,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png
049,venomoth,bug poison,450,70,65,60,90,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png
050,diglett,ground,265,10,55,25,35,45,95,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png
050,diglett,ground steel,265,10,55,30,35,45,90,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png
051,dugtrio,ground,425,35,100,50,50,70,120,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png
051,dugtrio,ground steel,425,35,100,60,50,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png
052,meowth,normal,290,40,45,35,40,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png
052,meowth,dark,290,40,35,35,50,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png
052,meowth,steel,290,50,65,55,40,40,40,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png
053,persian,normal,440,65,70,60,65,65,115,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png
053,persian,dark,440,65,60,60,75,65,115,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png
054,psyduck,water,320,50,52,48,65,50,55,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png
055,golduck,water,500,80,82,78,95,80,85,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png
056,mankey,fighting,305,40,80,35,35,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png
057,primeape,fighting,455,65,105,60,60,70,95,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png
058,growlithe,fire,350,55,70,45,70,50,60,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png
059,arcanine,fire,555,90,110,80,100,80,95,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png
060,poliwag,water,300,40,50,40,40,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png
061,poliwhirl,water,385,65,65,65,50,50,90,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png
062,poliwrath,water fighting,510,90,95,95,70,90,70,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png
063,abra,psychic,310,25,20,15,105,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png
064,kadabra,psychic,400,40,35,30,120,70,105,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png
065,alakazam,psychic,500,55,50,45,135,95,120,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png
065,alakazam,psychic,600,55,50,65,175,105,150,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png
066,machop,fighting,305,70,80,50,35,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png
067,machoke,fighting,405,80,100,70,50,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png
068,machamp,fighting,505,90,130,80,65,85,55,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png
069,bellsprout,grass poison,300,50,75,35,70,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png
070,weepinbell,grass poison,390,65,90,50,85,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png
071,victreebel,grass poison,490,80,105,65,100,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png
072,tentacool,water poison,335,40,40,35,50,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png
073,tentacruel,water poison,515,80,70,65,80,120,100,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png
074,geodude,rock ground,300,40,80,100,30,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png
074,geodude,rock electric,300,40,80,100,30,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png
075,graveler,rock ground,390,55,95,115,45,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png
075,graveler,rock electric,390,55,95,115,45,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png
076,golem,rock ground,495,80,120,130,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png
076,golem,rock electric,495,80,120,130,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png
077,ponyta,fire,410,50,85,55,65,65,90,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png
077,ponyta,psychic,410,50,85,55,65,65,90,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png
078,rapidash,fire,500,65,100,70,80,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png
078,rapidash,psychic fairy,500,65,100,70,80,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png
079,slowpoke,water psychic,315,90,65,65,40,40,15,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png
079,slowpoke,psychic,315,90,65,65,40,40,15,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png
080,slowbro,water psychic,490,95,75,110,100,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png
080,slowbro,water psychic,590,95,75,180,130,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png
080,slowbro,poison psychic,490,95,100,95,100,70,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png
081,magnemite,electric steel,325,25,35,70,95,55,45,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png
082,magneton,electric steel,465,50,60,95,120,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png
083,farfetch'd,normal flying,377,52,90,55,58,62,60,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png
083,farfetch'd,fighting,377,52,95,55,58,62,55,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png
084,doduo,normal flying,310,35,85,45,35,35,75,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png
085,dodrio,normal flying,470,60,110,70,60,60,110,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png
086,seel,water,325,65,45,55,45,70,45,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png
087,dewgong,water ice,475,90,70,80,70,95,70,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png
088,grimer,poison,325,80,80,50,40,50,25,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png
088,grimer,poison dark,325,80,80,50,40,50,25,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png
089,muk,poison,500,105,105,75,65,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png
089,muk,poison dark,500,105,105,75,65,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png
090,shellder,water,305,30,65,100,45,25,40,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png
091,cloyster,water ice,525,50,95,180,85,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png
092,gastly,ghost poison,310,30,35,30,100,35,80,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png
093,haunter,ghost poison,405,45,50,45,115,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png
094,gengar,ghost poison,500,60,65,60,130,75,110,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png
094,gengar,ghost poison,600,60,65,80,170,95,130,https://img.pokemondb.net/sprites/sword-shield/icon/gengar-mega.png
095,onix,rock ground,385,35,45,160,30,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png
096,drowzee,psychic,328,60,48,45,43,90,42,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png
097,hypno,psychic,483,85,73,70,73,115,67,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png
098,krabby,water,325,30,105,90,25,25,50,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png
099,kingler,water,475,55,130,115,50,50,75,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png
100,voltorb,electric,330,40,30,50,55,55,100,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png
101,electrode,electric,490,60,50,70,80,80,150,https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png
102,exeggcute,grass psychic,325,60,40,80,60,45,40,https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png
103,exeggutor,grass psychic,530,95,95,85,125,75,55,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png
103,exeggutor,grass dragon,530,95,105,85,125,75,45,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png
104,cubone,ground,320,50,50,95,40,50,35,https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png
105,marowak,ground,425,60,80,110,50,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png
105,marowak,fire ghost,425,60,80,110,50,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png
106,hitmonlee,fighting,455,50,120,53,35,110,87,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png
107,hitmonchan,fighting,455,50,105,79,35,110,76,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png
108,lickitung,normal,385,90,55,75,60,75,30,https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png
109,koffing,poison,340,40,65,95,60,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png
110,weezing,poison,490,65,90,120,85,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png
110,weezing,poison fairy,490,65,90,120,85,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png
111,rhyhorn,ground rock,345,80,85,95,30,30,25,https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png
112,rhydon,ground rock,485,105,130,120,45,45,40,https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png
113,chansey,normal,450,250,5,5,35,105,50,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png
114,tangela,grass,435,65,55,115,100,40,60,https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png
115,kangaskhan,normal,490,105,95,80,40,80,90,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png
115,kangaskhan,normal,590,105,125,100,60,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan-mega.png
116,horsea,water,295,30,40,70,70,25,60,https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png
117,seadra,water,440,55,65,95,95,45,85,https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png
118,goldeen,water,320,45,67,60,35,50,63,https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png
119,seaking,water,450,80,92,65,65,80,68,https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png
120,staryu,water,340,30,45,55,70,55,85,https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png
121,starmie,water psychic,520,60,75,85,100,85,115,https://img.pokemondb.net/sprites/sword-shield/icon/starmie.png
122,mr. mime,psychic fairy,460,40,45,65,100,120,90,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime.png
122,mr. mime,ice psychic,460,50,65,65,90,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime-galarian.png
123,scyther,bug flying,500,70,110,80,55,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/scyther.png
124,jynx,ice psychic,455,65,50,35,115,95,95,https://img.pokemondb.net/sprites/sword-shield/icon/jynx.png
125,electabuzz,electric,490,65,83,57,95,85,105,https://img.pokemondb.net/sprites/sword-shield/icon/electabuzz.png
126,magmar,fire,495,65,95,57,100,85,93,https://img.pokemondb.net/sprites/sword-shield/icon/magmar.png
127,pinsir,bug,500,65,125,100,55,70,85,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir.png
127,pinsir,bug flying,600,65,155,120,65,90,105,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir-mega.png
128,tauros,normal,490,75,100,95,40,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png
129,magikarp,water,200,20,10,55,15,20,80,https://img.pokemondb.net/sprites/sword-shield/icon/magikarp.png
130,gyarados,water flying,540,95,125,79,60,100,81,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png
130,gyarados,water dark,640,95,155,109,70,130,81,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados-mega.png
131,lapras,water ice,535,130,85,80,85,95,60,https://img.pokemondb.net/sprites/sword-shield/icon/lapras.png
132,ditto,normal,288,48,48,48,48,48,48,https://img.pokemondb.net/sprites/sword-shield/icon/ditto.png
133,eevee,normal,325,55,55,50,45,65,55,https://img.pokemondb.net/sprites/sword-shield/icon/eevee.png
133,eevee,normal,435,65,75,70,65,85,75,https://img.pokemondb.net/sprites/sword-shield/icon/eevee-lets-go.png
134,vaporeon,water,525,130,65,60,110,95,65,https://img.pokemondb.net/sprites/sword-shield/icon/vaporeon.png
135,jolteon,electric,525,65,65,60,110,95,130,https://img.pokemondb.net/sprites/sword-shield/icon/jolteon.png
136,flareon,fire,525,65,130,60,95,110,65,https://img.pokemondb.net/sprites/sword-shield/icon/flareon.png
137,porygon,normal,395,65,60,70,85,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/porygon.png
138,omanyte,rock water,355,35,40,100,90,55,35,https://img.pokemondb.net/sprites/sword-shield/icon/omanyte.png
139,omastar,rock water,495,70,60,125,115,70,55,https://img.pokemondb.net/sprites/sword-shield/icon/omastar.png
140,kabuto,rock water,355,30,80,90,55,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/kabuto.png
141,kabutops,rock water,495,60,115,105,65,70,80,https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png
142,aerodactyl,rock flying,515,80,105,65,60,75,130,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png
142,aerodactyl,rock flying,615,80,135,85,70,95,150,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl-mega.png
143,snorlax,normal,540,160,110,65,65,110,30,https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png
144,articuno,ice flying,580,90,85,100,95,125,85,https://img.pokemondb.net/sprites/sword-shield/icon/articuno.png
144,articuno,psychic flying,580,90,85,85,125,100,95,https://img.pokemondb.net/sprites/sword-shield/icon/articuno-galarian.png
145,zapdos,electric flying,580,90,90,85,125,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos.png
145,zapdos,fighting flying,580,90,125,90,85,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos-galarian.png
146,moltres,fire flying,580,90,100,90,125,85,90,https://img.pokemondb.net/sprites/sword-shield/icon/moltres.png
146,moltres,dark flying,580,90,85,90,100,125,90,https://img.pokemondb.net/sprites/sword-shield/icon/moltres-galarian.png
147,dratini,dragon,300,41,64,45,50,50,50,https://img.pokemondb.net/sprites/sword-shield/icon/dratini.png
148,dragonair,dragon,420,61,84,65,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/dragonair.png
149,dragonite,dragon flying,600,91,134,95,100,100,80,https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png
150,mewtwo,psychic,680,106,110,90,154,90,130,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo.png
150,mewtwo,psychic fighting,780,106,190,100,154,100,130,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-x.png
150,mewtwo,psychic,780,106,150,70,194,120,140,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-y.png
151,mew,psychic,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/mew.png
152,chikorita,grass,318,45,49,65,49,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png
153,bayleef,grass,405,60,62,80,63,80,60,https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png
154,meganium,grass,525,80,82,100,83,100,80,https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png
155,cyndaquil,fire,309,39,52,43,60,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png
156,quilava,fire,405,58,64,58,80,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png
157,typhlosion,fire,534,78,84,78,109,85,100,https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png
158,totodile,water,314,50,65,64,44,48,43,https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png
159,croconaw,water,405,65,80,80,59,63,58,https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png
160,feraligatr,water,530,85,105,100,79,83,78,https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png
161,sentret,normal,215,35,46,34,35,45,20,https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png
162,furret,normal,415,85,76,64,45,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/furret.png
163,hoothoot,normal flying,262,60,30,30,36,56,50,https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png
164,noctowl,normal flying,452,100,50,50,86,96,70,https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png
165,ledyba,bug flying,265,40,20,30,40,80,55,https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png
166,ledian,bug flying,390,55,35,50,55,110,85,https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png
167,spinarak,bug poison,250,40,60,40,40,40,30,https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png
168,ariados,bug poison,400,70,90,70,60,70,40,https://img.pokemondb.net/sprites/sword-shield/icon/ariados.png
169,crobat,poison flying,535,85,90,80,70,80,130,https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png
170,chinchou,water electric,330,75,38,38,56,56,67,https://img.pokemondb.net/sprites/sword-shield/icon/chinchou.png
171,lanturn,water electric,460,125,58,58,76,76,67,https://img.pokemondb.net/sprites/sword-shield/icon/lanturn.png
172,pichu,electric,205,20,40,15,35,35,60,https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png
173,cleffa,fairy,218,50,25,28,45,55,15,https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png
174,igglybuff,normal fairy,210,90,30,15,40,20,15,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png
175,togepi,fairy,245,35,20,65,40,65,20,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png
176,togetic,fairy flying,405,55,40,85,80,105,40,https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png
177,natu,psychic flying,320,40,50,45,70,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/natu.png
178,xatu,psychic flying,470,65,75,70,95,70,95,https://img.pokemondb.net/sprites/sword-shield/icon/xatu.png
179,mareep,electric,280,55,40,40,65,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/mareep.png
180,flaaffy,electric,365,70,55,55,80,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/flaaffy.png
181,ampharos,electric,510,90,75,85,115,90,55,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos.png
181,ampharos,electric dragon,610,90,95,105,165,110,45,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos-mega.png
182,bellossom,grass,490,75,80,95,90,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/bellossom.png
183,marill,water fairy,250,70,20,50,20,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/marill.png
184,azumarill,water fairy,420,100,50,80,60,80,50,https://img.pokemondb.net/sprites/sword-shield/icon/azumarill.png
185,sudowoodo,rock,410,70,100,115,30,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/sudowoodo.png
186,politoed,water,500,90,75,75,90,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/politoed.png
187,hoppip,grass flying,250,35,35,40,35,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/hoppip.png
188,skiploom,grass flying,340,55,45,50,45,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/skiploom.png
189,jumpluff,grass flying,460,75,55,70,55,95,110,https://img.pokemondb.net/sprites/sword-shield/icon/jumpluff.png
190,aipom,normal,360,55,70,55,40,55,85,https://img.pokemondb.net/sprites/sword-shield/icon/aipom.png
191,sunkern,grass,180,30,30,30,30,30,30,https://img.pokemondb.net/sprites/sword-shield/icon/sunkern.png
192,sunflora,grass,425,75,75,55,105,85,30,https://img.pokemondb.net/sprites/sword-shield/icon/sunflora.png
193,yanma,bug flying,390,65,65,45,75,45,95,https://img.pokemondb.net/sprites/sword-shield/icon/yanma.png
194,wooper,water ground,210,55,45,45,25,25,15,https://img.pokemondb.net/sprites/sword-shield/icon/wooper.png
195,quagsire,water ground,430,95,85,85,65,65,35,https://img.pokemondb.net/sprites/sword-shield/icon/quagsire.png
