,#,Name,Type1,Type2,Total,HP,Attack,Defense,Sp.Attack,Sp.Defence,Speed,Sprite,URL
21,017,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,pidgeotto
22,018,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,pidgeot
23,018,Pidgeot,Normal,Flying,579,83,80,80,135,80,121,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png,pidgeot
24,019,Rattata,Normal,,253,30,56,35,25,35,72,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,rattata
25,019,Rattata,Dark,Normal,253,30,56,35,25,35,72,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,rattata
26,020,Raticate,Normal,,413,55,81,60,50,70,97,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,raticate
27,020,Raticate,Dark,Normal,413,75,71,70,40,80,77,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,raticate
28,021,Spearow,Normal,Flying,262,40,60,30,31,31,70,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,spearow
29,022,Fearow,Normal,Flying,442,65,90,65,61,61,100,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,fearow
30,023,Ekans,Poison,,288,35,60,44,40,54,55,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,ekans
31,024,Arbok,Poison,,448,60,95,69,65,79,80,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,arbok
32,025,Pikachu,Electric,,320,35,55,40,50,50,90,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,pikachu
33,025,Pikachu,Electric,,430,45,80,50,75,60,120,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png,pikachu
34,026,Raichu,Electric,,485,60,90,55,90,80,110,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,raichu
35,026,Raichu,Electric,Psychic,485,60,85,50,95,85,110,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,raichu
36,027,Sandshrew,Ground,,300,50,75,85,20,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,sandshrew
37,027,Sandshrew,Ice,Steel,300,50,75,90,10,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,sandshrew
38,028,Sandslash,Ground,,450,75,100,110,45,55,65,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,sandslash
39,028,Sandslash,Ice,Steel,450,75,100,120,25,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,sandslash
40,029,Nidoran♀,Poison,,275,55,47,52,40,40,41,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,nidoran-f
41,030,Nidorina,Poison,,365,70,62,67,55,55,56,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,nidorina
42,031,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,nidoqueen
43,032,Nidoran♂,Poison,,273,46,57,40,40,40,50,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,nidoran-m
44,033,Nidorino,Poison,,365,61,72,57,55,55,65,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,nidorino
45,034,Nidoking,Poison,Ground,505,81,102,77,85,75,85,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,nidoking
46,035,Clefairy,Fairy,,323,70,45,48,60,65,35,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,clefairy
47,036,Clefable,Fairy,,483,95,70,73,95,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,clefable
48,037,Vulpix,Fire,,299,38,41,40,50,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,vulpix
49,037,Vulpix,Ice,,299,38,41,40,50,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,vulpix
50,038,Ninetales,Fire,,505,73,76,75,81,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,ninetales
51,038,Ninetales,Ice,Fairy,505,73,67,75,81,100,109,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,ninetales
52,039,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,jigglypuff
53,040,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,wigglytuff
54,041,Zubat,Poison,Flying,245,40,45,35,30,40,55,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,zubat
55,042,Golbat,Poison,Flying,455,75,80,70,65,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,golbat
56,043,Oddish,Grass,Poison,320,45,50,55,75,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,oddish
57,044,Gloom,Grass,Poison,395,60,65,70,85,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,gloom
58,045,Vileplume,Grass,Poison,490,75,80,85,110,90,50,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,vileplume
59,046,Paras,Bug,Grass,285,35,70,55,45,55,25,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,paras
60,047,Parasect,Bug,Grass,405,60,95,80,60,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,parasect
61,048,Venonat,Bug,Poison,305,60,55,50,40,55,45,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,venonat
62,049,Venomoth,Bug,Poison,450,70,65,60,90,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,venomoth
63,050,Diglett,Ground,,265,10,55,25,35,45,95,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,diglett
64,050,Diglett,Ground,Steel,265,10,55,30,35,45,90,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,diglett
65,051,Dugtrio,Ground,,425,35,100,50,50,70,120,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,dugtrio
66,051,Dugtrio,Ground,Steel,425,35,100,60,50,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,dugtrio
67,052,Meowth,Normal,,290,40,45,35,40,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,meowth
68,052,Meowth,Dark,,290,40,35,35,50,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,meowth
69,052,Meowth,Steel,,290,50,65,55,40,40,40,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png,meowth
70,053,Persian,Normal,,440,65,70,60,65,65,115,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,persian
71,053,Persian,Dark,,440,65,60,60,75,65,115,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,persian
72,054,Psyduck,Water,,320,50,52,48,65,50,55,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png,psyduck
73,055,Golduck,Water,,500,80,82,78,95,80,85,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png,golduck
74,056,Mankey,Fighting,,305,40,80,35,35,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png,mankey
75,057,Primeape,Fighting,,455,65,105,60,60,70,95,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png,primeape
76,058,Growlithe,Fire,,350,55,70,45,70,50,60,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,growlithe
77,059,Arcanine,Fire,,555,90,110,80,100,80,95,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,arcanine
78,060,Poliwag,Water,,300,40,50,40,40,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png,poliwag
79,061,Poliwhirl,Water,,385,65,65,65,50,50,90,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png,poliwhirl
80,062,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png,poliwrath
81,063,Abra,Psychic,,310,25,20,15,105,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png,abra
82,064,Kadabra,Psychic,,400,40,35,30,120,70,105,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png,kadabra
83,065,Alakazam,Psychic,,500,55,50,45,135,95,120,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png,alakazam
84,065,Alakazam,Psychic,,600,55,50,65,175,105,150,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png,alakazam
85,066,Machop,Fighting,,305,70,80,50,35,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png,machop
86,067,Machoke,Fighting,,405,80,100,70,50,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png,machoke
87,068,Machamp,Fighting,,505,90,130,80,65,85,55,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,machamp
88,069,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png,bellsprout
89,070,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png,weepinbell
90,071,Victreebel,Grass,Poison,490,80,105,65,100,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png,victreebel
91,072,Tentacool,Water,Poison,335,40,40,35,50,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png,tentacool
92,073,Tentacruel,Water,Poison,515,80,70,65,80,120,100,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png,tentacruel
93,074,Geodude,Rock,Ground,300,40,80,100,30,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,geodude
94,074,Geodude,Rock,Electric,300,40,80,100,30,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png,geodude
95,075,Graveler,Rock,Ground,390,55,95,115,45,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,graveler
96,075,Graveler,Rock,Electric,390,55,95,115,45,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png,graveler
97,076,Golem,Rock,Ground,495,80,120,130,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,golem
98,076,Golem,Rock,Electric,495,80,120,130,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png,golem
99,077,Ponyta,Fire,,410,50,85,55,65,65,90,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png,ponyta
100,077,Ponyta,Psychic,,410,50,85,55,65,65,90,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png,ponyta
101,078,Rapidash,Fire,,500,65,100,70,80,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png,rapidash
102,078,Rapidash,Psychic,Fairy,500,65,100,70,80,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png,rapidash
103,079,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png,slowpoke
104,079,Slowpoke,Psychic,,315,90,65,65,40,40,15,https://img.pokemondb.net/s.png,slowpoke
105,080,Slowbro,Water,Psychic,490,95,75,110,100,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,slowbro
106,080,Slowbro,Water,Psychic,590,95,75,180,130,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png,slowbro
107,080,Slowbro,Poison,Psychic,490,95,100,95,100,70,30,https://img.pokemondb.net/s.png,slowbro
108,081,Magnemite,Electric,Steel,325,25,35,70,95,55,45,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png,magnemite
109,082,Magneton,Electric,Steel,465,50,60,95,120,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png,magneton
110,083,Farfetch'd,Normal,Flying,377,52,90,55,58,62,60,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png,farfetchd
111,083,Farfetch'd,Fighting,,377,52,95,55,58,62,55,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png,farfetchd
112,084,Doduo,Normal,Flying,310,35,85,45,35,35,75,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png,doduo
113,085,Dodrio,Normal,Flying,470,60,110,70,60,60,110,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png,dodrio
114,086,Seel,Water,,325,65,45,55,45,70,45,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png,seel
115,087,Dewgong,Water,Ice,475,90,70,80,70,95,70,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png,dewgong
116,088,Grimer,Poison,,325,80,80,50,40,50,25,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png,grimer
117,088,Grimer,Poison,Dark,325,80,80,50,40,50,25,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png,grimer
118,089,Muk,Poison,,500,105,105,75,65,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png,muk
119,089,Muk,Poison,Dark,500,105,105,75,65,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png,muk
120,090,Shellder,Water,,305,30,65,100,45,25,40,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png,shellder
121,091,Cloyster,Water,Ice,525,50,95,180,85,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png,cloyster
122,092,Gastly,Ghost,Poison,310,30,35,30,100,35,80,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png,gastly
123,093,Haunter,Ghost,Poison,405,45,50,45,115,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png,haunter
124,094,Gengar,Ghost,Poison,500,60,65,60,130,75,110,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png,gengar
125,094,Gengar,Ghost,Poison,600,60,65,80,170,95,130,https://img.pokemondb.net/sprites/sword-shield/icon/gengar-mega.png,gengar
126,095,Onix,Rock,Ground,385,35,45,160,30,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png,onix
127,096,Drowzee,Psychic,,328,60,48,45,43,90,42,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png,drowzee
128,097,Hypno,Psychic,,483,85,73,70,73,115,67,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png,hypno
129,098,Krabby,Water,,325,30,105,90,25,25,50,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png,krabby
130,099,Kingler,Water,,475,55,130,115,50,50,75,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png,kingler
131,100,Voltorb,Electric,,330,40,30,50,55,55,100,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png,voltorb
132,101,Electrode,Electric,,490,60,50,70,80,80,150,https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png,electrode
133,102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png,exeggcute
134,103,Exeggutor,Grass,Psychic,530,95,95,85,125,75,55,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png,exeggutor
135,103,Exeggutor,Grass,Dragon,530,95,105,85,125,75,45,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png,exeggutor
136,104,Cubone,Ground,,320,50,50,95,40,50,35,https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png,cubone
137,105,Marowak,Ground,,425,60,80,110,50,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png,marowak
138,105,Marowak,Fire,Ghost,425,60,80,110,50,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png,marowak
139,106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png,hitmonlee
140,107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png,hitmonchan
141,108,Lickitung,Normal,,385,90,55,75,60,75,30,https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png,lickitung
142,109,Koffing,Poison,,340,40,65,95,60,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png,koffing
143,110,Weezing,Poison,,490,65,90,120,85,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png,weezing
144,110,Weezing,Poison,Fairy,490,65,90,120,85,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png,weezing
145,111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png,rhyhorn
146,112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png,rhydon
147,113,Chansey,Normal,,450,250,5,5,35,105,50,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png,chansey
148,114,Tangela,Grass,,435,65,55,115,100,40,60,https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png,tangela
149,115,Kangaskhan,Normal,,490,105,95,80,40,80,90,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png,kangaskhan
150,115,Kangaskhan,Normal,,590,105,125,100,60,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan-mega.png,kangaskhan
151,116,Horsea,Water,,295,30,40,70,70,25,60,https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png,horsea
152,117,Seadra,Water,,440,55,65,95,95,45,85,https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png,seadra
153,118,Goldeen,Water,,320,45,67,60,35,50,63,https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png,goldeen
154,119,Seaking,Water,,450,80,92,65,65,80,68,https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png,seaking
155,120,Staryu,Water,,340,30,45,55,70,55,85,https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png,staryu
156,121,Starmie,Water,Psychic,520,60,75,85,100,85,115,https://img.pokemondb.net/sprites/sword-shield/icon/starmie.png,starmie
157,122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime.png,mr-mime
158,122,Mr. Mime,Psychic,Ice,460,50,65,65,90,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime-galarian.png,mr-mime
159,123,Scyther,Bug,Flying,500,70,110,80,55,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/scyther.png,scyther
160,124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,https://img.pokemondb.net/sprites/sword-shield/icon/jynx.png,jynx
161,125,Electabuzz,Electric,,490,65,83,57,95,85,105,https://img.pokemondb.net/sprites/sword-shield/icon/electabuzz.png,electabuzz
162,126,Magmar,Fire,,495,65,95,57,100,85,93,https://img.pokemondb.net/sprites/sword-shield/icon/magmar.png,magmar
163,127,Pinsir,Bug,,500,65,125,100,55,70,85,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir.png,pinsir
164,127,Pinsir,Bug,Flying,600,65,155,120,65,90,105,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir-mega.png,pinsir
165,128,Tauros,Normal,,490,75,100,95,40,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png,tauros
166,129,Magikarp,Water,,200,20,10,55,15,20,80,https://img.pokemondb.net/sprites/sword-shield/icon/magikarp.png,magikarp
167,130,Gyarados,Water,Flying,540,95,125,79,60,100,81,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png,gyarados
168,130,Gyarados,Water,Dark,640,95,155,109,70,130,81,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados-mega.png,gyarados
169,131,Lapras,Water,Ice,535,130,85,80,85,95,60,https://img.pokemondb.net/sprites/sword-shield/icon/lapras.png,lapras
170,132,Ditto,Normal,,288,48,48,48,48,48,48,https://img.pokemondb.net/sprites/sword-shield/icon/ditto.png,ditto
171,133,Eevee,Normal,,325,55,55,50,45,65,55,https://img.pokemondb.net/sprites/sword-shield/icon/eevee.png,eevee
172,133,Eevee,Normal,,435,65,75,70,65,85,75,https://img.pokemondb.net/sprites/sword-shield/icon/eevee-lets-go.png,eevee
173,134,Vaporeon,Water,,525,130,65,60,110,95,65,https://img.pokemondb.net/sprites/sword-shield/icon/vaporeon.png,vaporeon
174,135,Jolteon,Electric,,525,65,65,60,110,95,130,https://img.pokemondb.net/sprites/sword-shield/icon/jolteon.png,jolteon
175,136,Flareon,Fire,,525,65,130,60,95,110,65,https://img.pokemondb.net/sprites/sword-shield/icon/flareon.png,flareon
176,137,Porygon,Normal,,395,65,60,70,85,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/porygon.png,porygon
177,138,Omanyte,Rock,Water,355,35,40,100,90,55,35,https://img.pokemondb.net/sprites/sword-shield/icon/omanyte.png,omanyte
178,139,Omastar,Rock,Water,495,70,60,125,115,70,55,https://img.pokemondb.net/sprites/sword-shield/icon/omastar.png,omastar
179,140,Kabuto,Rock,Water,355,30,80,90,55,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/kabuto.png,kabuto
180,141,Kabutops,Rock,Water,495,60,115,105,65,70,80,https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png,kabutops
181,142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png,aerodactyl
182,142,Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl-mega.png,aerodactyl
183,143,Snorlax,Normal,,540,160,110,65,65,110,30,https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png,snorlax
184,144,Articuno,Ice,Flying,580,90,85,100,95,125,85,https://img.pokemondb.net/sprites/sword-shield/icon/articuno.png,articuno
185,145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos.png,zapdos
186,146,Moltres,Fire,Flying,580,90,100,90,125,85,90,https://img.pokemondb.net/sprites/sword-shield/icon/moltres.png,moltres
187,147,Dratini,Dragon,,300,41,64,45,50,50,50,https://img.pokemondb.net/sprites/sword-shield/icon/dratini.png,dratini
188,148,Dragonair,Dragon,,420,61,84,65,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/dragonair.png,dragonair
189,149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png,dragonite
190,150,Mewtwo,Psychic,,680,106,110,90,154,90,130,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo.png,mewtwo
191,150,Mewtwo,Psychic,Fighting,780,106,190,100,154,100,130,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-x.png,mewtwo
192,150,Mewtwo,Psychic,,780,106,150,70,194,120,140,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-y.png,mewtwo
193,151,Mew,Psychic,,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/mew.png,mew
194,152,Chikorita,Grass,,318,45,49,65,49,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png,chikorita
195,153,Bayleef,Grass,,405,60,62,80,63,80,60,https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png,bayleef
196,154,Meganium,Grass,,525,80,82,100,83,100,80,https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png,meganium
197,155,Cyndaquil,Fire,,309,39,52,43,60,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png,cyndaquil
198,156,Quilava,Fire,,405,58,64,58,80,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png,quilava
199,157,Typhlosion,Fire,,534,78,84,78,109,85,100,https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png,typhlosion
200,158,Totodile,Water,,314,50,65,64,44,48,43,https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png,totodile
201,159,Croconaw,Water,,405,65,80,80,59,63,58,https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png,croconaw
202,160,Feraligatr,Water,,530,85,105,100,79,83,78,https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png,feraligatr
203,161,Sentret,Normal,,215,35,46,34,35,45,20,https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png,sentret
204,162,Furret,Normal,,415,85,76,64,45,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/furret.png,furret
